Station_Japanese,Station_English,Distance_between,Distance_from_Shinagawa
大崎,Ōsaki,2.0,2.0
五反田,Gotanda,0.9,2.9
目黒,Meguro,1.2,4.1
恵比寿,Ebisu,1.5,5.6
渋谷,Shibuya,1.6,7.2
原宿,Harajuku,1.2,8.4
代々木,Yoyogi,1.5,9.9
新宿,Shinjuku,0.7,10.6
新大久保,Shin-Ōkubo,1.3,11.9
高田馬場,Takadanobaba,1.4,13.3
目白,Mejiro,0.9,14.2
池袋,Ikebukuro,1.2,15.4
大塚,Ōtsuka,1.8,17.2
巣鴨,Sugamo,1.1,18.3
駒込,Komagome,0.7,19.0
田端,Tabata,1.6,20.6
西日暮里,Nishi-Nippori,0.8,21.4
日暮里,Nippori,0.5,21.9
鶯谷,Uguisudani,1.1,23.0
上野,Ueno,1.1,24.1
御徒町,Okachimachi,0.6,24.7
秋葉原,Akihabara,1.0,25.7
神田,Kanda,0.7,26.4
東京,Tokyo,1.3,27.7
有楽町,Yūrakuchō,0.8,28.5
新橋,Shimbashi,1.1,29.6
浜松町,Hamamatsuchō,1.2,30.8
田町,Tamachi,1.5,32.3
品川,Shinagawa,2.2,34.5
